City/Town,Ward,Pct,"Sarah E. Buxton","David M. Ainsworth",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Royalton,,,650,611,0,15,"1,276"
Tunbridge,,,463,306,1,6,776
TOTALS,,,"1,113",917,1,21,"2,052"
