City/Town,Ward,Pct,"Tony Klein",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
"E. Montpelier",,,"1,323",0,0,"1,323"
Middlesex,,,803,0,0,803
TOTALS,,,"2,126",0,0,"2,126"
