City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Marlboro,,,459,0,0,459
Newfane,,,812,0,0,812
Townshend,,,520,0,0,520
TOTALS,,,"1,791",0,0,"1,791"
