City/Town,Ward,Pct,"Anne L. Gallivan","James Eckhardt",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bridgewater,,,216,253,0,0,469
Chittenden,,,404,308,0,0,712
Killington,,,267,339,0,0,606
Mendon,,,316,266,0,0,582
TOTALS,,,"1,203","1,166",0,0,"2,369"
