City/Town,Ward,Pct,"Brian K. Savage","Michel Consejo",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Sheldon,,,493,591,0,0,"1,084"
Swanton,,,"1,960","1,555",0,0,"3,515"
TOTALS,,,"2,453","2,146",0,0,"4,599"
