City/Town,Ward,Pct,"Sarah Copeland Hanzas","Mary Daly",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bradford,,,761,413,0,0,"1,174"
Fairlee,,,324,193,0,0,517
"W. Fairlee",,,171,120,0,0,291
TOTALS,,,"1,256",726,0,0,"1,982"
