City/Town,Ward,Pct,"Donna Sweaney","John Bartholomew","Ryan Palmer",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Hartland,,,914,"1,242",576,0,0,"2,732"
"W. Windsor",,,403,412,268,0,0,"1,083"
Windsor,,,"1,085",730,604,0,0,"2,419"
TOTALS,,,"2,402","2,384","1,448",0,0,"6,234"
