City/Town,Ward,Pct,"Willem Jewett","Tim Ryan",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Independent
Cornwall,,,451,227,0,0,678
Goshen,,,92,32,0,0,124
Hancock,,,117,36,0,0,153
Leicester,,,222,245,0,0,467
Ripton,,,266,63,0,0,329
Salisbury,,,252,279,0,0,531
TOTALS,,,"1,400",882,0,0,"2,282"
