City/Town,Ward,Pct,"Will Stevens",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent
Benson,,,429,5,45,479
Orwell,,,534,17,72,623
Shoreham,,,570,6,52,628
Whiting,,,166,6,17,189
TOTALS,,,"1,699",34,186,"1,919"
