City/Town,Ward,Pct,"Sam Young","Vicki Strong",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Albany,,,299,362,0,0,661
Barton,,,731,786,0,0,"1,517"
Craftsbury,,,435,414,0,0,849
Glover,,,471,357,0,0,828
Greensboro,,,328,236,0,0,564
Sheffield,,,196,188,0,0,384
Wheelock,,,214,228,0,0,442
TOTALS,,,"2,674","2,571",0,0,"5,245"
