City/Town,Ward,Pct,"Barack Obama","Mitt Romney","Gary Johnson","Ross C. Anderson","Peta Lindsay",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Justice,"Socialism and Liberation"
Tunbridge,,,500,239,14,4,1,7,6,0,771
Underhill,,,"1,226",565,23,3,4,8,3,0,"1,832"
Vergennes,,,788,312,6,4,3,9,7,0,"1,129"
Vernon,,,562,495,12,7,1,9,0,0,"1,086"
Vershire,,,230,103,5,4,0,3,0,0,345
Victory,,,30,18,0,0,0,1,2,0,51
Waitsfield,,,824,237,20,3,1,11,6,0,"1,102"
Walden,,,303,158,5,5,2,2,6,0,481
Wallingford,,,663,426,21,5,3,9,3,0,"1,130"
Waltham,,,179,76,3,6,0,3,1,0,268
Wardsboro,,,247,130,3,2,1,5,0,0,388
Warren,,,774,197,17,1,2,6,3,0,"1,000"
Washington,,,315,195,8,4,0,3,3,0,528
Waterbury,,,"1,978",654,51,10,4,17,17,0,"2,731"
Waterford,,,370,326,5,1,3,2,2,0,709
Waterville,,,233,98,2,0,1,3,1,0,338
Weathersfield,,,895,509,13,4,3,10,14,0,"1,448"
Wells,,,270,234,11,6,3,4,2,0,530
"W. Fairlee",,,195,93,5,0,1,3,3,0,300
"W. Haven",,,79,44,2,0,0,2,0,0,127
"W. Rutland",,,597,391,8,3,1,6,5,0,"1,011"
"W. Windsor",,,454,219,5,0,1,5,1,0,685
Westfield,,,170,112,3,2,2,4,3,0,296
Westford,,,742,376,11,3,1,12,3,0,"1,148"
Westminster,-,"Windham 3",62,14,2,0,0,0,2,0,80
Westminster,-,"Windham 4","1,151",324,11,6,9,7,9,0,"1,517"
Westmore,,,104,92,1,2,0,1,0,0,200
Weston,,,282,130,3,1,1,1,1,0,419
Weybridge,,,401,127,7,4,2,3,5,0,549
Wheelock,,,197,132,7,1,0,3,1,0,341
Whiting,,,133,54,0,0,1,0,1,0,189
Whitingham,-,"Windham 6",364,220,6,0,2,3,5,0,600
Whitingham,-,Windham-Bennington,12,6,0,0,0,0,0,0,18
Williamstown,,,840,549,15,12,3,9,6,0,"1,434"
Williston,,,"3,329","1,697",54,15,9,19,16,0,"5,139"
Wilmington,,,692,327,10,4,1,3,5,0,"1,042"
Windham,,,146,70,2,0,0,2,2,0,222
Windsor,,,"1,119",406,17,7,5,8,3,0,"1,565"
Winhall,,,297,189,8,5,0,0,1,0,500
Winooski,,,"1,941",552,41,16,3,23,9,0,"2,585"
Wolcott,,,538,211,6,5,2,7,3,0,772
Woodbury,,,317,157,3,4,2,6,4,0,493
Woodford,,,122,45,4,0,0,0,0,0,171
Woodstock,,,"1,361",508,15,6,1,8,5,0,"1,904"
Worcester,,,416,112,11,5,1,7,4,0,556
TOTALS,,,"199,053","92,580","3,483","1,125",693,"1,122",784,0,"298,840"
