City/Town,Ward,Pct,"Alice Miller",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Shaftsbury,,,"1,402",0,0,"1,402"
Sunderland,,,83,0,0,83
TOTALS,,,"1,485",0,0,"1,485"
