City/Town,Ward,Pct,"Mark A. Macdonald",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Braintree,,,401,19,136,556
Brookfield,,,512,29,148,689
Chelsea,,,406,43,168,617
Corinth,,,498,0,155,653
Randolph,,,"1,562",90,485,"2,137"
Strafford,,,574,9,114,697
Thetford,,,"1,308",26,216,"1,550"
Tunbridge,,,569,26,171,766
Vershire,,,274,6,64,344
Washington,,,392,11,124,527
Williamstown,,,"1,122",55,245,"1,422"
TOTALS,,,"7,618",314,"2,026","9,958"
