City/Town,Ward,Pct,"Harvey Smith","Edward V. McGuire",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bridport,,,390,236,0,0,626
"New Haven",,,529,446,0,0,975
Weybridge,,,232,300,0,0,532
TOTALS,,,"1,151",982,0,0,"2,133"
