City/Town,Ward,Pct,"Anne B. Donahue","Patti J. Lewis","Colin T. Bright",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic
Berlin,,,643,813,463,0,0,"1,919"
Northfield,,,"1,486",900,970,0,0,"3,356"
TOTALS,,,"2,129","1,713","1,433",0,0,"5,275"
