City/Town,Ward,Pct,"Andy Donaghy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Ira,,,184,5,43,232
Poultney,,,"1,067",52,249,"1,368"
TOTALS,,,"1,251",57,292,"1,600"
