City/Town,Ward,Pct,"Joan G. Lenes","George Schiavone",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Shelburne,,,"1,128",866,0,0,"1,994"
"St. George",,,177,138,0,0,315
TOTALS,,,"1,305","1,004",0,0,"2,309"
