City/Town,Ward,Pct,"Dennis J. Devereux","Eldred French",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Ludlow,,,619,465,0,0,"1,084"
"Mount Holly",,,458,294,0,0,752
Shrewsbury,,,269,368,0,0,637
TOTALS,,,"1,346","1,127",0,0,"2,473"
