City/Town,Ward,Pct,"Thomas F. Koch","Francis McFaun",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
"Barre Town",,,"3,160","2,974",42,"1,711","7,887"
TOTALS,,,"3,160","2,974",42,"1,711","7,887"
