City/Town,Ward,Pct,"John Moran",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Dover,,,595,0,0,595
Readsboro,,,283,0,0,283
Searsburg,,,40,0,0,40
Stamford,,,364,0,0,364
Wardsboro,,,324,0,0,324
Whitingham,,,14,0,0,14
TOTALS,,,"1,620",0,0,"1,620"
