City/Town,Ward,Pct,"Alison H. Clarkson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Plymouth,,,262,8,69,339
Reading,,,339,3,30,372
Woodstock,,,"1,646",17,243,"1,906"
TOTALS,,,"2,247",28,342,"2,617"
