City/Town,Ward,Pct,"Albert Pearce","Steve Beyor","Bob Irish",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Progressive
Berkshire,,,401,201,252,1,293,"1,148"
Franklin,,,304,254,321,1,262,"1,142"
Highgate,,,566,899,467,4,683,"2,619"
Richford,,,610,224,320,6,404,"1,564"
TOTALS,,,"1,881","1,578","1,360",12,"1,642","6,473"
