City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Colchester,-,"Chittenden 9-1","2,695",0,0,"2,695"
Colchester,-,"Chittenden 9-2","3,538",0,0,"3,538"
"Grand Isle",,,"1,058",0,0,"1,058"
"Isle La Motte",,,238,0,0,238
"N. Hero",,,494,0,0,494
"S. Hero",,,951,0,0,951
TOTALS,,,"8,974",0,0,"8,974"
