City/Town,Ward,Pct,"Sandy Haas",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive
Bethel,,,771,29,171,971
Pittsfield,,,193,7,85,285
Rochester,,,522,19,108,649
Stockbridge,,,294,18,73,385
TOTALS,,,"1,780",73,437,"2,290"
