City/Town,Ward,Pct,"Dave Potter","Thomas Burditt","Ken Fredette","Glenn Eno",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Democratic,Republican
Clarendon,,,618,594,412,425,0,0,"2,049"
Proctor,,,448,352,330,201,0,0,"1,331"
Tinmouth,,,33,25,32,27,0,0,117
Wallingford,,,505,332,585,416,0,0,"1,838"
"W. Rutland",,,506,553,316,268,0,0,"1,643"
TOTALS,,,"2,110","1,856","1,675","1,337",0,0,"6,978"
