City/Town,Ward,Pct,"Peter Welch","Mark Donka","James Desrochers","Jane Newton","Andre Laframboise",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent,"Liberty Union",VoteKISS
Addison,,,451,261,17,3,1,0,0,733
Albany,,,200,125,15,10,2,0,0,352
Alburgh,,,619,232,29,12,7,0,0,899
Andover,,,1,0,0,0,0,0,0,1
Arlington,,,794,350,38,29,5,0,0,"1,216"
Athens,,,84,40,9,9,0,0,0,142
Bakersfield,,,411,128,31,8,2,0,0,580
Baltimore,,,67,38,6,5,0,0,0,116
Barnard,,,378,144,10,1,2,0,0,535
Barnet,,,628,260,34,10,3,0,0,935
"Barre City",,,"2,167",711,83,42,21,0,0,"3,024"
"Barre Town",,,"2,454","1,262",101,36,16,0,0,"3,869"
Barton,,,739,272,34,13,4,0,0,"1,062"
Belvidere,,,92,40,1,1,1,0,0,135
Bennington,-,"Bennington 2-1","2,469",599,95,66,13,0,0,"3,242"
Bennington,-,"Bennington 2-2","2,091",592,86,73,10,0,0,"2,852"
Benson,,,310,118,21,14,3,0,0,466
Berkshire,,,374,150,24,8,3,0,0,559
Berlin,,,889,299,21,17,4,0,0,"1,230"
Bethel,,,696,227,18,8,7,0,0,956
Bloomfield,,,66,27,5,0,0,0,0,98
Bolton,,,452,112,18,12,4,0,0,598
Bradford,,,804,315,34,13,3,0,0,"1,169"
Braintree,,,373,147,14,3,4,0,0,541
Brandon,,,"1,253",424,58,22,3,0,0,"1,760"
Brattleboro,-,"Windham 2-1","1,576",320,34,37,3,0,0,"1,970"
Brattleboro,-,"Windham 2-2","1,468",187,43,42,5,0,0,"1,745"
Brattleboro,-,"Windham 2-3","1,489",181,35,58,4,0,0,"1,767"
Bridgewater,,,339,128,6,5,2,0,0,480
Bridport,,,407,203,18,6,2,0,0,636
Brighton,,,338,147,21,9,5,0,0,520
Bristol,,,"1,307",379,39,26,4,0,0,"1,755"
Brookfield,,,475,171,13,16,4,0,0,679
Brookline,,,174,59,9,10,0,0,0,252
Brownington,,,250,105,13,2,2,0,0,372
Brunswick,,,44,7,5,0,0,0,0,56
Burke,,,494,208,30,12,0,0,0,744
Burlington,-,"Chittenden 6-1","3,196",727,101,30,13,0,0,"4,067"
Burlington,-,"Chittenden 6-2","1,684",219,44,25,5,0,0,"1,977"
Burlington,-,"Chittenden 6-3","2,669",193,105,88,15,0,0,"3,070"
Burlington,-,"Chittenden 6-4","1,988",153,78,30,14,0,0,"2,263"
Burlington,-,"Chittenden 6-5","3,672",424,97,48,9,0,0,"4,250"
Burlington,-,"Chittenden 6-6",769,94,46,16,2,0,0,927
Burlington,-,"Chittenden 6-7",63,2,1,0,1,0,0,67
Cabot,,,511,171,23,7,0,0,0,712
Calais,,,765,166,24,21,4,0,0,980
Cambridge,,,"1,401",369,45,26,7,0,0,"1,848"
Canaan,,,267,95,15,7,3,0,0,387
Castleton,,,"1,066",531,54,22,8,0,0,"1,681"
Cavendish,,,417,208,15,13,2,0,0,655
Charleston,,,263,133,10,7,0,0,0,413
Charlotte,,,"1,682",515,44,22,76,0,0,"2,339"
Chelsea,,,362,209,9,0,35,0,0,615
Chester,,,"1,012",349,46,50,2,0,0,"1,459"
Chittenden,,,471,216,13,10,0,0,0,710
Clarendon,,,716,425,37,18,3,0,0,"1,199"
Colchester,-,"Chittenden 9-1","2,242",693,97,27,8,0,0,"3,067"
Colchester,-,"Chittenden 9-2","2,819","1,019",130,41,15,0,0,"4,024"
Concord,,,291,154,30,16,3,0,0,494
Corinth,,,430,196,17,4,4,0,0,651
Cornwall,,,520,150,9,3,3,0,0,685
Coventry,,,350,105,14,8,0,0,0,477
Craftsbury,,,449,99,24,19,3,0,0,594
Danby,,,403,172,21,16,1,0,0,613
Danville,,,755,353,25,13,0,0,0,"1,146"
Derby,,,"1,370",607,64,21,10,0,0,"2,072"
Dorset,,,773,341,23,33,1,0,0,"1,171"
Dover,,,424,243,30,21,2,0,0,720
Dummerston,,,922,170,35,15,2,0,0,"1,144"
Duxbury,,,523,134,18,4,4,0,0,683
"E. Haven",,,77,36,7,4,0,0,0,124
"E. Montpelier",,,"1,217",282,37,13,4,0,0,"1,553"
Eden,,,323,101,27,8,0,0,0,459
Elmore,,,370,102,18,5,2,0,0,497
Enosburgh,,,910,227,43,13,7,0,0,"1,200"
Essex,-,"Chittenden 8-1","2,946","1,087",93,15,10,0,0,"4,151"
Essex,-,"Chittenden 8-2","3,285","1,187",105,36,14,0,0,"4,627"
Essex,-,"Chittenden 8-3",910,408,30,5,1,0,0,"1,354"
"Fair Haven",,,708,332,29,13,6,0,0,"1,088"
Fairfax,,,"1,373",631,86,13,5,0,0,"2,108"
Fairfield,,,649,180,22,10,1,0,0,862
Fairlee,,,382,118,10,7,3,0,0,520
Fayston,,,545,130,23,7,3,0,0,708
Ferrisburgh,,,"1,038",379,36,8,5,0,0,"1,466"
Fletcher,,,440,143,26,7,1,0,0,617
Franklin,,,373,157,13,3,0,0,0,546
Georgia,,,"1,347",656,116,20,5,0,0,"2,144"
Glover,,,408,125,14,10,1,0,0,558
Goshen,,,94,27,4,1,1,0,0,127
Grafton,,,222,104,8,9,2,0,0,345
Granby,,,24,11,6,0,0,0,0,41
"Grand Isle",,,815,302,47,16,4,0,0,"1,184"
Granville,,,115,19,0,0,1,0,0,135
Greensboro,,,308,81,10,5,2,0,0,406
Groton,,,254,159,16,8,1,0,0,438
Guildhall,,,74,56,6,1,0,0,0,137
Guilford,,,866,185,21,23,4,0,0,"1,099"
Halifax,,,247,119,13,11,1,0,0,391
Hancock,,,111,34,4,0,1,0,0,150
Hardwick,,,967,276,36,27,8,0,0,"1,314"
Hartford,-,"Windsor 4-1",716,360,22,10,0,0,0,"1,108"
Hartford,-,"Windsor 4-2","2,548",954,86,23,11,0,0,"3,622"
Hartland,,,"1,308",440,38,14,4,0,0,"1,804"
Highgate,,,865,321,70,10,5,0,0,"1,271"
Hinesburg,-,"Chittenden 4-1",14,2,0,0,0,0,0,16
Hinesburg,-,"Chittenden 4-2","1,822",470,52,13,1,0,0,"2,358"
Holland,,,195,80,11,6,1,0,0,293
Hubbardton,,,208,121,10,5,6,0,0,350
Huntington,,,888,168,28,13,2,0,0,"1,099"
"Hyde Park",,,"1,036",295,37,16,3,0,0,"1,387"
Ira,,,144,75,5,3,0,0,0,227
Irasburg,,,333,157,13,6,2,0,0,511
"Isle La Motte",,,192,70,14,10,1,0,0,287
Jamaica,,,290,84,16,46,1,0,0,437
Jay,,,135,43,8,3,0,0,0,189
Jericho,,,"2,115",777,69,23,6,0,0,"2,990"
Johnson,,,946,230,43,15,4,0,0,"1,238"
Killington,,,406,176,18,5,2,0,0,607
Kirby,,,168,72,10,0,0,0,0,250
Landgrove,,,72,23,2,5,0,0,0,102
Leicester,,,310,133,14,6,3,0,0,466
Lemington,,,28,18,3,1,0,0,0,50
Lincoln,,,598,142,20,6,3,0,0,769
Londonderry,,,535,234,29,70,3,0,0,871
Lowell,,,228,117,15,4,2,0,0,366
Ludlow,,,696,311,28,19,2,0,0,"1,056"
Lunenburg,,,340,174,18,12,2,0,0,546
Lyndon,,,"1,252",650,78,31,9,0,0,"2,020"
Maidstone,,,54,37,6,2,0,0,0,99
Manchester,,,"1,416",686,63,49,3,0,0,"2,217"
Marlboro,,,451,62,16,17,0,0,0,546
Marshfield,,,566,200,25,18,1,0,0,810
Mendon,,,361,206,12,5,0,0,0,584
Middlebury,,,"2,666",502,61,29,14,0,0,"3,272"
Middlesex,,,787,161,17,14,3,0,0,982
"Middletown Springs",,,299,120,12,6,0,0,0,437
Milton,-,"Chittenden 10","2,509","1,040",275,31,14,0,0,"3,869"
Milton,-,"Grand Isle-Chittenden",401,201,44,7,1,0,0,654
Monkton,,,784,233,17,9,0,0,0,"1,043"
Montgomery,,,432,113,24,9,2,0,0,580
Montpelier,,,"3,760",506,76,56,5,0,0,"4,403"
Moretown,,,717,172,19,9,3,0,0,920
Morgan,,,192,112,10,19,0,0,0,333
Morristown,,,"1,866",466,64,26,8,0,0,"2,430"
"Mount Holly",,,458,225,14,21,4,0,0,722
"Mount Tabor",,,52,25,1,4,0,0,0,82
"New Haven",,,710,229,15,7,8,0,0,969
Newark,,,172,90,7,11,5,0,0,285
Newbury,,,664,283,31,18,4,0,0,"1,000"
Newfane,,,732,149,22,28,0,0,0,931
"Newport City",,,"1,083",378,42,26,4,0,0,"1,533"
"Newport Town",,,433,182,32,26,1,0,0,674
"N. Hero",,,357,173,28,3,1,0,0,562
Northfield,,,"1,478",476,57,30,19,0,0,"2,060"
Norton,,,53,28,3,7,1,0,0,92
Norwich,,,"1,856",235,30,7,1,0,0,"2,129"
Orange,,,307,172,15,7,6,0,0,507
Orwell,,,377,201,15,8,1,0,0,602
Panton,,,217,102,4,2,1,0,0,326
Pawlet,,,481,186,24,21,5,0,0,717
Peacham,,,357,99,13,9,2,0,0,480
Peru,,,149,47,4,15,0,0,0,215
Pittsfield,,,161,79,9,20,4,0,0,273
Pittsford,,,957,394,40,18,5,0,0,"1,414"
Plainfield,,,519,99,10,17,4,0,0,649
Plymouth,,,197,112,10,3,1,0,0,323
Pomfret,,,461,124,5,3,0,0,0,593
Poultney,,,925,336,45,21,2,0,0,"1,329"
Pownal,,,"1,055",357,63,36,9,0,0,"1,520"
Proctor,,,566,189,24,4,5,0,0,788
Putney,,,"1,082",133,16,18,3,0,0,"1,252"
Randolph,,,"1,516",487,52,23,11,0,0,"2,089"
Reading,,,271,74,12,4,1,0,0,362
Readsboro,,,214,99,16,14,1,0,0,344
Richford,,,562,162,26,6,7,0,0,763
Richmond,,,"1,816",480,47,11,2,0,0,"2,356"
Ripton,,,279,30,9,6,0,0,0,324
Rochester,,,494,118,16,13,1,0,0,642
Rockingham,,,"1,577",324,72,50,8,0,0,"2,031"
Roxbury,,,241,67,6,9,2,0,0,325
Royalton,,,881,250,45,16,48,0,0,"1,240"
Rupert,,,245,91,11,17,2,0,0,366
"Rutland City",-,"Rutland 5-1","1,440",565,32,13,2,0,0,"2,052"
"Rutland City",-,"Rutland 5-2","1,252",476,39,17,12,0,0,"1,796"
"Rutland City",-,"Rutland 5-3",861,253,41,18,7,0,0,"1,180"
"Rutland City",-,"Rutland 5-4","1,188",371,24,20,9,0,0,"1,612"
"Rutland Town",,,"1,405",759,40,17,3,0,0,"2,224"
Ryegate,,,354,162,17,6,3,0,0,542
Salisbury,,,373,133,13,11,3,0,0,533
Sandgate,,,121,64,12,5,2,0,0,204
Searsburg,,,29,12,7,2,0,0,0,50
Shaftsbury,,,"1,234",469,52,33,5,0,0,"1,793"
Sharon,,,512,148,24,7,5,0,0,696
Sheffield,,,190,62,10,9,0,0,0,271
Shelburne,-,"Chittenden 5-1","1,828",510,36,17,4,0,0,"2,395"
Shelburne,-,"Chittenden 5-2","1,410",508,37,16,5,0,0,"1,976"
Sheldon,,,552,177,28,11,1,0,0,769
Shoreham,,,434,150,19,5,0,0,0,608
Shrewsbury,,,420,188,20,10,1,0,0,639
"S. Burlington",-,"Chittenden 7-1","1,721",506,46,17,2,0,0,"2,292"
"S. Burlington",-,"Chittenden 7-2","1,830",620,55,9,7,0,0,"2,521"
"S. Burlington",-,"Chittenden 7-3","1,642",386,54,16,5,0,0,"2,103"
"S. Burlington",-,"Chittenden 7-4","1,567",498,74,16,6,0,0,"2,161"
"S. Hero",,,802,221,36,6,4,0,0,"1,069"
Springfield,-,"Windsor 3-1",81,43,4,1,0,0,0,129
Springfield,-,"Windsor 3-2","2,373","1,014",104,68,9,0,0,"3,568"
"St. Albans City",,,"1,769",479,109,29,4,0,0,"2,390"
"St. Albans Town",-,"Franklin 3-1",572,216,42,9,2,0,0,841
"St. Albans Town",-,"Franklin 3-2","1,264",512,67,22,11,0,0,"1,876"
"St. George",,,237,66,9,4,2,0,0,318
"St. Johnsbury",,,"1,918",814,101,32,17,0,0,"2,882"
Stamford,,,263,124,27,12,3,0,0,429
Stannard,,,71,8,11,4,0,0,0,94
Starksboro,,,572,173,21,13,35,0,0,814
Stockbridge,,,271,89,12,0,4,0,0,376
Stowe,,,"1,823",638,70,24,0,0,0,"2,555"
Strafford,,,558,87,18,10,1,0,0,674
Stratton,,,60,62,7,7,0,0,0,136
Sudbury,,,202,86,6,6,2,0,0,302
Sunderland,-,"Bennington 3",75,19,1,2,0,0,0,97
Sunderland,-,"Bennington 4",236,107,14,13,1,0,0,371
Sutton,,,270,114,23,9,1,0,0,417
Swanton,,,"1,638",641,99,29,11,0,0,"2,418"
Thetford,,,"1,207",239,28,7,6,0,0,"1,487"
Tinmouth,-,"Rutland 2",42,24,2,0,1,0,0,69
Tinmouth,-,Rutland-Bennington,153,59,4,2,0,0,0,218
Topsham,,,299,161,17,7,8,0,0,492
Townshend,,,418,144,19,47,0,0,0,628
Troy,-,"Orleans 2",106,36,1,1,1,0,6,151
Troy,-,Orleans-Lamoille,347,107,14,5,0,0,22,495
Tunbridge,,,535,194,10,4,11,1,0,755
Underhill,,,"1,301",432,41,9,1,1,48,"1,833"
Vergennes,,,839,208,32,14,4,0,35,"1,132"
Vernon,,,564,404,31,17,1,1,66,"1,084"
Vershire,,,231,82,8,6,10,0,9,346
Victory,,,28,14,3,3,1,0,2,51
Waitsfield,,,827,186,29,13,4,1,41,"1,101"
Walden,,,323,113,15,8,6,1,17,483
Wallingford,,,738,316,21,23,1,0,32,"1,131"
Waltham,,,196,62,5,2,1,0,2,268
Wardsboro,,,245,96,12,14,1,0,20,388
Warren,,,767,155,29,15,4,1,32,"1,003"
Washington,,,342,134,9,6,9,1,28,529
Waterbury,,,"2,069",475,79,16,11,1,83,"2,734"
Waterford,,,0,250,16,9,1,0,20,296
Waterville,,,233,82,9,2,0,0,11,337
Weathersfield,,,928,418,36,29,1,0,38,"1,450"
Wells,,,317,164,16,16,2,0,17,532
"W. Fairlee",,,201,75,11,4,0,1,10,302
"W. Haven",,,89,30,3,1,3,0,1,127
"W. Rutland",,,662,287,26,12,5,0,21,"1,013"
"W. Windsor",,,480,173,9,4,0,0,18,684
Westfield,,,190,75,13,5,1,0,11,295
Westford,,,823,259,27,8,1,1,30,"1,149"
Westminster,-,"Windham 3",59,14,2,1,0,0,4,80
Westminster,-,"Windham 4","1,183",225,40,30,1,0,38,"1,517"
Westmore,,,126,58,6,0,4,0,6,200
Weston,,,285,94,11,20,0,0,9,419
Weybridge,,,427,91,13,4,0,1,13,549
Wheelock,,,200,109,11,10,0,0,12,342
Whiting,,,150,29,1,4,1,0,4,189
Whitingham,-,"Windham 6",343,179,20,17,2,1,38,600
Whitingham,-,Windham-Bennington,13,5,0,0,0,0,0,18
Williamstown,,,954,369,47,17,14,0,34,"1,435"
Williston,,,"3,500","1,311",118,33,15,1,166,"5,144"
Wilmington,,,669,242,40,20,6,2,65,"1,044"
Windham,,,139,42,5,27,1,0,8,222
Windsor,,,"1,153",308,35,13,3,0,45,"1,557"
Winhall,,,272,149,28,30,0,0,23,502
Winooski,,,"1,915",363,98,34,13,14,141,"2,578"
Wolcott,,,548,159,28,8,2,0,23,768
Woodbury,,,327,126,14,12,2,0,12,493
Woodford,,,132,25,3,4,0,0,8,172
Woodstock,,,"1,379",426,27,17,2,1,53,"1,905"
Worcester,,,445,76,9,13,0,0,13,556
TOTALS,,,"208,607","67,440","8,299","4,055","1,153",30,"1,335","290,919"
