City/Town,Ward,Pct,"Mark Huntley","Scott Ranney",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cavendish,,,298,351,2,29,680
Weathersfield,,,734,643,2,71,"1,450"
TOTALS,,,"1,032",994,4,100,"2,130"
