City/Town,Ward,Pct,"Chip Conquest",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Groton,,,320,0,0,320
Newbury,,,853,0,0,853
Topsham,,,393,0,0,393
TOTALS,,,"1,566",0,0,"1,566"
