City/Town,Ward,Pct,"Connie Quimby","Amos Bell",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent
Brunswick,,,21,37,0,2,60
Concord,,,324,189,0,9,522
Granby,,,24,18,0,2,44
Guildhall,,,53,85,0,5,143
Kirby,,,174,59,4,14,251
Lunenburg,,,241,311,1,11,564
Maidstone,,,70,31,0,3,104
Victory,,,36,13,1,1,51
TOTALS,,,943,743,6,47,"1,739"
