City/Town,Ward,Pct,"Cindy Weed","Peter E. Perley",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive,Republican
Enosburgh,,,598,628,6,20,"1,252"
Montgomery,,,383,210,0,9,602
TOTALS,,,981,838,6,29,"1,854"
