City/Town,Ward,Pct,"Patti Komline",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Danby,,,495,10,135,640
Dorset,,,"1,005",21,183,"1,209"
Landgrove,,,74,4,25,103
"Mount Tabor",,,68,0,14,82
Peru,,,182,4,33,219
TOTALS,,,"1,824",39,390,"2,253"
