City/Town,Ward,Pct,"Martha Heath",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Essex,,,"1,073",0,0,"1,073"
Westford,,,852,0,0,852
TOTALS,,,"1,925",0,0,"1,925"
