City/Town,Ward,Pct,"Rebecca Ellis","Tom Stevens",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Bolton,,,426,414,0,0,840
Huntington,,,836,829,0,0,"1,665"
Waterbury,,,"2,090","2,050",0,0,"4,140"
TOTALS,,,"3,352","3,293",0,0,"6,645"
