City/Town,Ward,Pct,"Catherine Toll",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Cabot,,,634,0,0,634
Danville,,,983,0,0,983
Peacham,,,415,0,0,415
TOTALS,,,"2,032",0,0,"2,032"
