City/Town,Ward,Pct,"Adam Greshin","Maxine Grad","Ed Read","Heidi Spear",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Democratic,Independent,Independent
Duxbury,,,264,300,140,125,1,192,"1,022"
Fayston,,,270,212,267,210,1,102,"1,062"
Moretown,,,317,432,240,140,0,0,"1,129"
Waitsfield,,,448,392,355,233,0,0,"1,428"
Warren,,,426,362,266,196,0,0,"1,250"
TOTALS,,,"1,725","1,698","1,268",904,2,294,"5,891"
