City/Town,Ward,Pct,"Charles Shaw","Stephen A. Carr",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Brandon,,,960,945,13,772,"2,690"
Pittsford,,,821,527,0,0,"1,348"
Sudbury,,,137,148,0,0,285
TOTALS,,,"1,918","1,620",13,772,"4,323"
