City/Town,Ward,Pct,"Bernard C. Juskiewicz",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Cambridge,,,979,36,94,"1,109"
Waterville,,,176,3,21,200
TOTALS,,,"1,155",39,115,"1,309"
