City/Town,Ward,Pct,"Mark Higley",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Eden,,,228,8,46,282
Jay,,,105,4,18,127
Lowell,,,221,6,29,256
Troy,,,239,5,44,288
Westfield,,,150,5,31,186
TOTALS,,,943,28,168,"1,139"
