City/Town,Ward,Pct,"Albert Pearce","Steve Beyor","Robert B. Irish","Daniel Nadeau",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Berkshire,,,291,192,129,59,0,119,790
Franklin,,,227,227,213,95,1,123,886
Highgate,,,470,720,211,274,1,302,"1,978"
Richford,,,368,196,165,67,0,0,796
TOTALS,,,"1,356","1,335",718,495,2,544,"4,450"
