City/Town,Ward,Pct,"Alison H. Clarkson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Plymouth,,,153,0,0,153
Reading,,,189,0,0,189
Woodstock,,,978,0,0,978
TOTALS,,,"1,320",0,0,"1,320"
