City/Town,Ward,Pct,"Alyson Eastman",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent
Benson,,,189,4,62,255
Orwell,,,361,0,0,361
Shoreham,,,331,0,0,331
Whiting,,,90,0,0,90
TOTALS,,,971,4,62,"1,037"
