City/Town,Ward,Pct,"Laura Sibilia","John Moran","Philip Gilpin",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Democratic,Independent
Dover,,,263,103,121,0,8,495
Readsboro,,,112,119,6,0,0,237
Searsburg,,,15,15,1,0,0,31
Stamford,,,77,142,21,0,0,240
Wardsboro,,,106,155,9,0,0,270
Whitingham,,,4,4,1,0,0,9
TOTALS,,,577,538,159,0,8,"1,282"
