City/Town,Ward,Pct,"Sarah E. Buxton","David M. Ainsworth",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Royalton,,,406,437,0,0,843
Tunbridge,,,337,240,0,0,577
TOTALS,,,743,677,0,0,"1,420"
