City/Town,Ward,Pct,"Jim Masland","Tim Briglin","John Freitag",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent
Norwich,,,"1,040","1,035",272,0,0,"2,347"
Sharon,,,259,220,199,0,0,678
Strafford,,,281,299,199,0,0,779
Thetford,,,744,728,299,0,0,"1,771"
TOTALS,,,"2,324","2,282",969,0,0,"5,575"
