City/Town,Ward,Pct,"Thomas Burditt","Dave Potter","Michael Stimpfel","Ted Schaft",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Democratic,Libertarian
Clarendon,,,463,440,264,91,2,310,"1,570"
Proctor,,,274,303,156,135,0,0,868
Tinmouth,,,28,34,17,5,0,0,84
Wallingford,,,350,412,244,78,0,0,"1,084"
"W. Rutland",,,424,337,170,105,0,0,"1,036"
TOTALS,,,"1,539","1,526",851,414,2,310,"4,642"
