City/Town,Ward,Pct,"Patti Komline","Mary Barrosse-Schwartz",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Danby,,,277,147,0,18,442
Dorset,,,561,292,2,8,863
Landgrove,,,53,24,0,0,77
"Mount Tabor",,,39,21,0,0,60
Peru,,,88,54,0,0,142
TOTALS,,,"1,018",538,2,26,"1,584"
