City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Halifax,,,168,6,49,223
Whitingham,,,227,0,0,227
Wilmington,,,472,0,0,472
TOTALS,,,867,6,49,922
