City/Town,Ward,Pct,"Brian K. Savage","Marianna Gamache","Michel Consejo",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic
Sheldon,,,272,222,267,0,0,761
Swanton,,,"1,101",827,733,0,0,"2,661"
TOTALS,,,"1,373","1,049","1,000",0,0,"3,422"
