City/Town,Ward,Pct,"Oliver K. Olsen",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Jamaica,,,205,7,46,258
Londonderry,,,412,0,0,412
Stratton,,,73,0,0,73
Weston,,,240,0,0,240
Winhall,,,249,0,0,249
TOTALS,,,"1,179",7,46,"1,232"
