City/Town,Ward,Pct,"Carolyn W. Partridge","Matthew A. Trieber","Deborah Wright",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent
Athens,,,59,57,38,0,46,200
Brookline,,,137,107,29,2,79,354
Grafton,,,157,137,63,3,102,462
Rockingham,,,907,822,257,0,0,"1,986"
Westminster,,,31,23,13,0,0,67
Windham,,,113,84,38,0,0,235
TOTALS,,,"1,404","1,230",438,5,227,"3,304"
