City/Town,Ward,Pct,"Richard Mazza","Benjamin Bosley",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,"Liberty Union"
Colchester,-,"Chittenden 9-1","1,564",225,0,0,"1,789"
Colchester,-,"Chittenden 9-2","2,115",401,0,0,"2,516"
"Grand Isle",,,753,108,0,0,861
"Isle La Motte",,,172,27,0,0,199
"N. Hero",,,349,52,0,0,401
"S. Hero",,,650,95,0,0,745
TOTALS,,,"5,603",908,0,0,"6,511"
