City/Town,Ward,Pct,"Mark E. Woodward","Linda J. Martin","Lucien G. Gravel","Shane Bouthillette",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Belvidere,,,46,38,56,46,1,27,214
"Hyde Park",,,610,606,572,339,0,396,"2,523"
Johnson,,,450,362,281,251,0,0,"1,344"
Wolcott,,,245,317,251,164,0,0,977
TOTALS,,,"1,351","1,323","1,160",800,1,423,"5,058"
