City/Town,Ward,Pct,"Tony Klein",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
"E. Montpelier",,,850,30,211,"1,091"
Middlesex,,,676,0,0,676
TOTALS,,,"1,526",30,211,"1,767"
