City/Town,Ward,Pct,"Peter Welch","Mark Donka","Cris Ericson","Matthew Andrews","Jerry Trudell","Randall Meyer",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Independent,"Liberty Union","Energy Independence",Independent
Addison,,,284,252,2,4,4,2,0,0,548
Albany,,,186,114,4,6,10,4,0,0,324
Alburgh,,,383,197,11,7,9,6,0,0,613
Andover,,,105,96,7,0,2,0,0,0,210
Arlington,,,477,255,23,4,16,4,0,0,779
Athens,,,51,39,5,3,0,0,0,0,98
Bakersfield,,,237,116,6,3,3,4,0,0,369
Baltimore,,,27,32,6,1,1,1,0,0,68
Barnard,,,265,143,4,1,6,1,0,0,420
Barnet,,,353,235,5,6,4,11,0,0,614
"Barre City",,,"1,310",678,19,32,15,41,0,0,"2,095"
"Barre Town",,,"1,535","1,221",24,26,11,43,0,0,"2,860"
Barton,,,395,222,8,3,17,2,0,0,647
Belvidere,,,51,44,2,0,6,0,0,0,103
Bennington,-,"Bennington 2-1","1,401",422,56,23,31,9,0,0,"1,942"
Bennington,-,"Bennington 2-2","1,220",500,36,20,20,16,0,0,"1,812"
Benson,,,145,87,7,5,3,0,0,0,247
Berkshire,,,233,140,3,4,2,5,0,0,387
Berlin,,,526,298,8,17,7,12,0,0,868
Bethel,,,416,192,7,7,6,7,0,0,635
Bloomfield,,,24,21,1,0,14,1,0,0,61
Bolton,,,288,121,11,5,9,2,0,0,436
Bradford,,,403,207,7,6,2,9,0,0,634
Braintree,,,232,148,4,2,5,4,0,0,395
Brandon,,,833,425,15,15,9,6,0,0,"1,303"
Brattleboro,-,"Windham 2-1",858,184,8,16,11,11,0,0,"1,088"
Brattleboro,-,"Windham 2-2",756,107,19,24,10,2,0,0,918
Brattleboro,-,"Windham 2-3",858,127,11,23,9,5,0,0,"1,033"
Bridgewater,,,176,106,2,2,5,0,0,0,291
Bridport,,,243,178,11,1,5,0,0,0,438
Brighton,,,197,132,6,4,15,5,0,0,359
Bristol,,,"1,010",414,25,16,21,20,0,0,"1,506"
Brookfield,,,291,170,6,5,5,7,0,0,484
Brookline,,,123,39,4,4,3,0,0,0,173
Brownington,,,174,123,8,3,23,10,0,0,341
Brunswick,,,25,6,2,0,1,0,0,0,34
Burke,,,257,173,9,4,4,3,0,0,450
Burlington,-,"Chittenden 6-1","1,963",669,27,16,15,11,0,0,"2,701"
Burlington,-,"Chittenden 6-2","1,131",227,8,19,15,5,0,0,"1,405"
Burlington,-,"Chittenden 6-3","1,176",131,32,38,25,16,0,0,"1,418"
Burlington,-,"Chittenden 6-4",879,102,12,25,25,3,0,0,"1,046"
Burlington,-,"Chittenden 6-5","2,193",316,16,23,28,6,0,0,"2,582"
Burlington,-,"Chittenden 6-6",304,48,2,10,4,1,0,0,369
Burlington,-,"Chittenden 6-7",33,3,0,0,1,0,0,0,37
Cabot,,,284,144,3,12,5,18,0,0,466
Calais,,,541,150,5,18,3,14,0,0,731
Cambridge,,,732,326,21,10,11,8,0,0,"1,108"
Canaan,,,98,71,4,1,16,2,0,0,192
Castleton,,,543,451,23,14,8,6,0,0,"1,045"
Cavendish,,,234,196,26,2,2,1,0,0,461
Charleston,,,141,115,1,4,17,5,0,0,283
Charlotte,,,"1,043",419,10,14,6,10,0,0,"1,502"
Chelsea,,,265,207,4,5,4,2,0,0,487
Chester,,,533,293,46,6,5,4,0,0,887
Chittenden,,,311,201,10,4,6,1,0,0,533
Clarendon,,,368,365,13,9,8,10,0,0,773
Colchester,-,"Chittenden 9-1","1,211",601,14,23,13,10,0,0,"1,872"
Colchester,-,"Chittenden 9-2","1,572",957,27,15,18,12,0,0,"2,601"
Concord,,,145,117,10,5,7,6,0,0,290
Corinth,,,260,164,11,8,7,8,0,0,458
Cornwall,,,345,128,6,3,3,5,0,0,490
Coventry,,,193,99,6,1,8,2,0,0,309
Craftsbury,,,293,101,6,9,10,7,0,0,426
Danby,,,208,194,9,4,4,5,0,0,424
Danville,,,460,320,5,8,5,11,0,0,809
Derby,,,804,534,9,7,39,9,0,32,"1,434"
Dorset,,,518,288,19,3,8,5,0,22,863
Dover,,,261,173,22,4,9,5,2,19,495
Dummerston,,,529,137,12,12,2,4,0,9,705
Duxbury,,,325,146,12,4,3,7,1,13,511
"E. Haven",,,36,31,2,4,3,1,0,3,80
"E. Montpelier",,,765,262,5,19,9,11,1,19,"1,091"
Eden,,,160,97,6,5,3,5,0,6,282
Elmore,,,252,85,4,6,0,3,0,8,358
Enosburgh,,,652,238,13,15,15,8,0,42,983
Essex,-,"Chittenden 8-1","1,517",953,15,9,17,14,2,26,"2,553"
Essex,-,"Chittenden 8-2","1,771","1,081",17,18,19,14,4,48,"2,972"
Essex,-,"Chittenden 8-3",535,315,5,6,9,5,0,9,884
"Fair Haven",,,372,270,17,15,8,2,1,10,695
Fairfax,,,782,555,24,9,15,10,2,25,"1,422"
Fairfield,,,432,171,6,5,11,3,0,15,643
Fairlee,,,252,95,3,0,1,3,0,2,356
Fayston,,,386,102,11,1,6,3,1,21,531
Ferrisburgh,,,616,357,12,12,7,3,2,17,"1,026"
Fletcher,,,228,120,7,6,5,3,0,6,375
Franklin,,,262,153,7,3,1,6,1,10,443
Georgia,,,738,591,16,15,14,11,1,26,"1,412"
Glover,,,287,108,6,4,10,5,1,17,438
Goshen,,,44,26,0,2,0,2,0,2,76
Grafton,,,123,83,14,1,2,0,0,6,229
Granby,,,16,11,0,0,0,1,0,0,28
"Grand Isle",,,542,315,12,9,8,7,2,29,924
Granville,,,74,15,1,0,0,0,0,4,94
Greensboro,,,209,68,3,4,3,2,0,8,297
Groton,,,137,155,7,4,3,13,0,5,324
Guildhall,,,51,43,4,1,1,1,0,4,105
Guilford,,,468,127,15,12,8,7,0,14,651
Halifax,,,130,77,7,2,3,1,0,4,224
Hancock,,,63,28,2,2,1,2,0,2,100
Hardwick,,,549,289,12,17,5,21,0,27,920
Hartford,-,"Windsor 4-1",427,282,4,6,2,1,0,5,727
Hartford,-,"Windsor 4-2","1,496",680,25,12,11,9,2,28,"2,263"
Hartland,,,744,349,16,16,9,2,0,7,"1,143"
Highgate,,,551,369,9,2,12,13,0,31,987
Hinesburg,-,"Chittenden 4-1",11,2,0,0,0,0,0,0,13
Hinesburg,-,"Chittenden 4-2","1,179",421,10,10,5,8,1,40,"1,674"
Holland,,,79,68,4,1,4,5,0,10,171
Hubbardton,,,112,84,4,1,2,2,0,2,207
Huntington,,,611,148,12,16,12,10,2,14,825
"Hyde Park",,,776,363,16,21,27,12,0,45,"1,260"
Ira,,,77,62,3,2,0,0,0,7,151
Irasburg,,,181,139,4,2,6,5,0,11,348
"Isle La Motte",,,121,89,2,2,3,4,0,4,225
Jamaica,,,173,60,12,4,2,0,1,6,258
Jay,,,74,45,2,0,4,1,0,1,127
Jericho,,,"1,404",755,10,10,17,11,1,46,"2,254"
Johnson,,,474,246,11,13,7,4,0,19,774
Killington,,,220,174,5,4,2,4,0,7,416
Kirby,,,96,55,1,1,0,1,0,0,154
Landgrove,,,49,27,0,1,0,0,0,2,79
Leicester,,,173,107,4,3,3,2,0,6,298
Lemington,,,13,20,0,1,0,1,0,1,36
Lincoln,,,447,171,2,5,6,4,0,22,657
Londonderry,,,269,175,19,2,5,4,0,9,483
Lowell,,,115,116,4,7,4,4,0,6,256
Ludlow,,,347,276,22,5,4,0,3,14,671
Lunenburg,,,139,144,6,2,5,10,3,8,317
Lyndon,,,646,520,15,9,11,18,2,21,"1,242"
Maidstone,,,29,27,0,0,0,0,0,1,57
Manchester,,,964,492,48,6,11,10,0,43,"1,574"
Marlboro,,,298,41,8,6,2,4,0,6,365
Marshfield,,,342,169,6,22,8,22,0,15,584
Mendon,,,221,185,8,4,3,4,0,11,436
Middlebury,,,"1,690",452,19,14,23,16,1,50,"2,265"
Middlesex,,,613,152,9,24,45,9,1,30,883
"Middletown Springs",,,212,137,1,1,4,2,0,16,373
Milton,-,"Chittenden 10","1,176","1,061",38,20,21,20,4,65,"2,405"
Milton,-,"Grand Isle-Chittenden",189,198,10,1,0,2,0,6,406
Monkton,,,561,273,9,11,4,7,1,28,894
Montgomery,,,292,107,5,4,9,5,0,6,428
Montpelier,,,"2,513",410,20,55,41,36,5,60,"3,140"
Moretown,,,461,169,8,12,9,10,0,20,689
Morgan,,,96,108,3,2,5,3,0,5,222
Morristown,,,"1,102",471,19,15,18,20,1,25,"1,671"
"Mount Holly",,,278,193,13,1,4,3,0,10,502
"Mount Tabor",,,27,31,2,0,1,0,0,1,62
"New Haven",,,499,229,13,6,7,10,0,17,781
Newark,,,92,68,4,4,3,6,0,13,190
Newbury,,,383,210,7,8,10,6,0,12,636
Newfane,,,458,122,10,3,3,6,1,12,615
"Newport City",,,612,370,17,15,18,10,0,27,"1,069"
"Newport Town",,,220,151,7,13,10,8,0,14,423
"N. Hero",,,234,169,2,4,2,3,0,9,423
Northfield,,,817,471,22,15,8,24,0,36,"1,393"
Norton,,,20,26,0,1,0,1,1,1,50
Norwich,,,"1,195",153,6,5,10,5,0,8,"1,382"
Orange,,,159,160,2,4,2,8,0,8,343
Orwell,,,223,180,6,0,8,2,0,11,430
Panton,,,129,89,6,1,1,2,0,2,230
Pawlet,,,319,167,13,4,15,2,2,10,532
Peacham,,,229,82,3,4,3,10,0,4,335
Peru,,,92,44,5,1,1,1,0,2,146
Pittsfield,,,106,68,2,1,0,1,0,5,183
Pittsford,,,557,354,18,13,11,9,0,24,986
Plainfield,,,318,99,1,17,2,22,0,8,467
Plymouth,,,110,114,7,2,3,1,0,1,238
Pomfret,,,295,120,1,4,0,1,0,2,423
Poultney,,,511,318,23,10,15,7,1,11,896
Pownal,,,765,306,67,19,30,16,0,60,"1,263"
Proctor,,,330,179,5,3,2,4,0,8,531
Putney,,,656,101,8,13,7,2,0,10,797
Randolph,,,980,481,16,20,13,14,2,21,"1,547"
Reading,,,162,66,0,8,1,2,0,0,239
Readsboro,,,137,82,8,2,3,1,0,9,242
Richford,,,301,137,7,6,4,11,0,13,479
Richmond,,,"1,187",438,14,10,16,6,1,35,"1,707"
Ripton,,,192,40,2,1,4,3,0,3,245
Rochester,,,293,109,3,9,2,4,0,11,431
Rockingham,,,837,267,41,17,10,4,2,20,"1,198"
Roxbury,,,160,68,2,1,1,4,0,9,245
Royalton,,,554,242,9,7,13,6,3,25,859
Rupert,,,160,98,9,6,5,3,0,10,291
"Rutland City",-,"Rutland 5-1",945,512,18,6,4,8,2,52,"1,547"
"Rutland City",-,"Rutland 5-2",694,395,14,8,11,12,5,23,"1,162"
"Rutland City",-,"Rutland 5-3",406,230,16,15,8,9,2,14,700
"Rutland City",-,"Rutland 5-4",694,332,20,5,5,13,1,30,"1,100"
"Rutland Town",,,882,675,29,17,8,7,3,39,"1,660"
Ryegate,,,225,143,4,3,5,6,0,16,402
Salisbury,,,187,103,8,3,3,3,0,7,314
Sandgate,,,63,50,6,1,3,2,0,5,130
Searsburg,,,11,15,4,0,0,0,0,2,32
Shaftsbury,,,660,355,23,19,8,12,0,31,"1,108"
Sharon,,,324,124,3,1,4,4,0,5,465
Sheffield,,,97,70,2,4,3,1,1,4,182
Shelburne,-,"Chittenden 5-1","1,174",426,7,7,4,4,0,39,"1,661"
Shelburne,-,"Chittenden 5-2",845,437,15,1,6,6,2,22,"1,334"
Sheldon,,,290,163,3,2,9,1,1,9,478
Shoreham,,,254,131,5,2,9,7,0,9,417
Shrewsbury,,,274,164,6,5,3,5,0,11,468
"S. Burlington",-,"Chittenden 7-1","1,053",360,10,6,8,10,2,28,"1,477"
"S. Burlington",-,"Chittenden 7-2","1,098",495,10,8,9,1,2,4,"1,627"
"S. Burlington",-,"Chittenden 7-3",892,287,20,11,8,1,1,14,"1,234"
"S. Burlington",-,"Chittenden 7-4",850,443,14,12,10,7,3,27,"1,366"
"S. Hero",,,544,203,8,4,12,6,1,17,795
Springfield,-,"Windsor 3-1",42,33,3,2,1,2,0,1,84
Springfield,-,"Windsor 3-2","1,132",756,65,16,12,17,7,20,"2,025"
"St. Albans City",,,"1,082",453,24,15,22,14,2,34,"1,646"
"St. Albans Town",-,"Franklin 3-1",344,221,4,4,6,5,1,12,597
"St. Albans Town",-,"Franklin 3-2",729,484,20,14,24,12,0,22,"1,305"
"St. George",,,127,66,1,1,4,1,0,5,205
"St. Johnsbury",,,"1,118",687,23,29,22,24,4,42,"1,949"
Stamford,,,140,79,13,4,2,7,0,13,258
Stannard,,,62,17,1,1,1,2,0,3,87
Starksboro,,,446,199,6,8,9,8,0,33,709
Stockbridge,,,131,84,2,2,2,3,0,11,235
Stowe,,,959,461,13,14,11,7,0,38,"1,503"
Strafford,,,375,75,2,8,4,1,0,12,477
Stratton,,,37,39,4,0,0,1,0,2,83
Sudbury,,,139,73,0,1,2,1,0,1,217
Sunderland,-,"Bennington 3",54,14,4,2,1,0,0,2,77
Sunderland,-,"Bennington 4",128,80,10,2,3,2,0,5,230
Sutton,,,129,101,1,2,6,6,0,5,250
Swanton,,,911,601,24,8,17,14,5,19,"1,599"
Thetford,,,826,206,8,7,7,11,0,21,"1,086"
Tinmouth,-,"Rutland 2",35,17,1,3,0,0,0,0,56
Tinmouth,-,Rutland-Bennington,86,52,2,3,3,4,0,2,152
Topsham,,,141,128,3,5,3,5,0,6,291
Townshend,,,231,96,9,4,2,3,0,12,357
Troy,-,"Orleans 2",55,39,0,1,6,2,0,4,107
Troy,-,Orleans-Lamoille,181,90,6,2,3,1,0,5,288
Tunbridge,,,369,183,3,3,9,4,1,18,590
Underhill,,,874,424,14,5,9,4,0,23,"1,353"
Vergennes,,,518,250,6,5,10,7,0,12,808
Vernon,,,249,275,10,4,4,7,0,18,567
Vershire,,,136,69,3,4,0,0,0,3,215
Victory,,,8,17,0,4,0,0,0,1,30
Waitsfield,,,585,163,8,9,14,10,1,18,808
Walden,,,221,101,0,21,4,7,0,12,366
Wallingford,,,405,268,17,7,8,5,0,17,727
Waltham,,,117,73,5,1,0,0,0,0,196
Wardsboro,,,169,85,8,3,4,0,0,4,273
Warren,,,494,143,16,3,9,14,0,33,712
Washington,,,187,161,2,3,2,5,0,15,375
Waterbury,,,"1,249",430,17,16,20,13,0,42,"1,787"
Waterford,,,213,240,6,11,3,10,0,12,495
Waterville,,,113,79,2,6,0,0,0,2,202
Weathersfield,,,447,395,13,10,7,10,0,11,893
Wells,,,175,165,5,3,5,2,0,11,366
"W. Fairlee",,,102,42,3,4,1,5,0,5,162
"W. Haven",,,55,23,1,12,0,1,0,0,92
"W. Rutland",,,319,256,16,9,3,4,0,9,616
"W. Windsor",,,317,140,6,4,2,2,0,7,478
Westfield,,,101,70,2,3,5,0,1,5,187
Westford,,,504,292,13,3,5,5,0,10,832
Westminster,-,"Windham 3",31,10,1,0,0,0,0,1,43
Westminster,-,"Windham 4",696,181,29,8,5,7,0,14,940
Westmore,,,81,56,0,2,3,0,1,1,144
Weston,,,188,70,7,2,2,1,0,3,273
Weybridge,,,296,91,5,1,1,3,0,9,406
Wheelock,,,112,98,1,3,1,3,0,5,223
Whiting,,,69,36,5,2,1,2,0,4,119
Whitingham,-,"Windham 6",168,134,10,7,10,2,0,8,339
Whitingham,-,Windham-Bennington,5,4,0,0,0,0,0,0,9
Williamstown,,,594,352,12,11,9,15,1,24,"1,018"
Williston,,,"1,954","1,068",25,19,22,22,5,38,"3,153"
Wilmington,,,341,163,17,4,14,9,1,22,571
Windham,,,91,34,7,7,1,1,0,1,142
Windsor,,,636,235,11,5,8,8,2,9,914
Winhall,,,156,103,12,16,3,0,0,7,297
Winooski,,,"1,069",291,29,27,24,15,5,40,"1,500"
Wolcott,,,344,171,4,10,6,12,0,10,557
Woodbury,,,221,118,3,10,2,7,0,5,366
Woodford,,,82,18,2,2,1,2,0,7,114
Woodstock,,,837,342,6,7,4,4,1,18,"1,219"
Worcester,,,296,70,4,20,5,7,0,6,408
TOTALS,,,"123,349","59,432","2,750","2,071","2,024","1,685",126,"3,009","194,446"
