City/Town,Ward,Pct,"Cynthia Browning","Steve Berry","Judy Livingston","Tony Dupont",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Arlington,,,498,364,331,189,2,206,"1,590"
Manchester,,,674,785,746,457,0,0,"2,662"
Sandgate,,,93,55,48,28,0,0,224
Sunderland,,,139,91,97,62,0,0,389
TOTALS,,,"1,404","1,295","1,222",736,2,206,"4,865"
