City/Town,Ward,Pct,"Job Tate","Anne L. Gallivan",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bridgewater,,,152,133,0,11,296
Chittenden,,,273,268,1,9,551
Killington,,,243,163,0,0,406
Mendon,,,260,161,0,0,421
TOTALS,,,928,725,1,20,"1,674"
