City/Town,Ward,Pct,"Michael J. Marcotte","Gary Viens","Julie Raboin","Carl B. Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Progressive
Coventry,,,218,198,70,64,0,90,640
Irasburg,,,235,193,86,65,1,118,698
"Newport City",,,702,707,229,192,0,0,"1,830"
"Newport Town",,,278,274,92,55,0,0,699
Troy,,,53,61,19,31,0,0,164
TOTALS,,,"1,486","1,433",496,407,1,208,"4,031"
