City/Town,Ward,Pct,"Jim Condos","Ben Eastwood","Mary Alice Herbert",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Progressive,"Liberty Union"
Wheelock,,,136,30,20,1,35,222
Whiting,,,75,13,9,2,20,119
Whitingham,-,"Windham 6",157,57,60,1,64,339
Whitingham,-,Windham-Bennington,4,1,3,0,1,9
Williamstown,,,659,162,85,6,106,"1,018"
Williston,,,"2,238",258,180,21,459,"3,156"
Wilmington,,,344,58,81,2,86,571
Windham,,,82,21,22,0,19,144
Windsor,,,607,117,90,3,99,916
Winhall,,,164,42,30,0,61,297
Winooski,,,"1,055",185,91,8,159,"1,498"
Wolcott,,,338,101,54,0,65,558
Woodbury,,,237,61,28,2,38,366
Woodford,,,74,3,12,0,25,114
Woodstock,,,817,116,102,1,183,"1,219"
Worcester,,,281,72,22,0,36,411
TOTALS,,,"126,427","24,518","17,460",612,"22,441","191,458"
