City/Town,Ward,Pct,"Janet Ancel","Jacob R. Miller","Michael Sabourin",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Independent,Independent
Calais,,,499,126,66,4,54,749
Marshfield,,,291,96,166,0,0,553
Plainfield,,,281,108,48,0,0,437
TOTALS,,,"1,071",330,280,4,54,"1,739"
