City/Town,Ward,Pct,"Michael Hebert",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Guilford,,,382,30,239,651
Vernon,,,448,8,105,561
TOTALS,,,830,38,344,"1,212"
