City/Town,Ward,Pct,"Rodney Graham","Susan Hatch Davis","Rama Schneider",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive,Independent
Chelsea,,,300,216,132,3,355,"1,006"
Corinth,,,171,298,119,0,340,928
Orange,,,221,160,77,0,0,458
Vershire,,,63,141,67,0,0,271
Washington,,,202,199,75,0,0,476
Williamstown,,,598,388,376,0,0,"1,362"
TOTALS,,,"1,555","1,402",846,3,695,"4,501"
