City/Town,Ward,Pct,"Donna Sweaney","John Bartholomew",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Hartland,,,675,840,13,759,"2,287"
"W. Windsor",,,333,302,0,0,635
Windsor,,,746,545,0,0,"1,291"
TOTALS,,,"1,754","1,687",13,759,"4,213"
