City/Town,Ward,Pct,"Diana Gonzalez","Clement J. Bissonnette","Robert Millar",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive,Democratic,Progressive
Burlington,,,29,13,22,0,14,78
Winooski,,,879,835,561,0,0,"2,275"
TOTALS,,,908,848,583,0,14,"2,353"
