City/Town,Ward,Pct,"Teo Zagar","Scott D. Woodward",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Barnard,,,316,105,1,10,432
Hartford,,,372,312,5,38,727
Pomfret,,,250,167,0,0,417
TOTALS,,,938,584,6,48,"1,576"
